fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
4495.0,200408.0,0.0,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
4495.0,200409.0,3.2278,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
4495.0,200410.0,2.2072,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
4495.0,200411.0,6.2388,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
4495.0,200412.0,2.7681,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
4495.0,200501.0,-1.8785,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
4495.0,200502.0,2.9842,0.0825,0.9714,1.5728,1.6583,3.0695,2.781,3.16,-2.35
4495.0,200503.0,-1.4215,-5.4096,-2.3046,-1.6161,-1.3525,-1.1136,-0.6693,0.54,0.13
4495.0,200504.0,-2.995,-7.012,-5.8827,-5.9099,-3.6351,-3.0782,-3.6685,-0.85,-1.85
4495.0,200505.0,3.3734,6.7482,5.0035,3.4769,5.5289,4.7535,5.4207,0.43,3.16
4495.0,200506.0,1.5487,2.9887,3.618,4.0485,0.6894,3.0394,3.0555,2.05,0.04
4495.0,200507.0,4.902,7.6016,7.1404,6.3426,5.2043,5.1982,4.8475,-0.01,-0.11
4495.0,200508.0,-0.8307,-2.0943,-0.9503,-0.3427,-1.4482,-0.5695,-0.7949,2.27,-1.44
4495.0,200509.0,1.7801,0.7411,0.5148,0.8575,0.0983,1.3838,1.2918,3.46,-3.73
4495.0,200510.0,-2.8292,-4.3223,-2.7448,-2.6828,-1.5828,-2.7264,-3.1419,-1.28,1.58
4495.0,200511.0,3.9704,3.4987,3.7404,3.2183,4.998,4.3571,3.2227,0.25,0.09
4495.0,200512.0,0.7575,0.8007,0.1512,1.3211,0.494,1.1842,1.1884,0.77,1.95
