fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931.0,,-0.5598,-1.33,-1.0,-0.62,-0.46,-0.28,-0.15,-0.33,-0.08
3931.0,,-1.5865,-2.09,-1.67,-1.31,-1.68,-1.74,-1.51,0.1,-0.55
3931.0,,1.5601,1.15,1.37,0.87,1.59,1.46,1.44,0.28,-0.47
3931.0,,-2.2017,-2.7,-2.5,-1.86,-2.28,-2.51,-2.79,0.06,-1.81
3931.0,,-2.0419,-1.45,-1.28,-0.69,-1.96,-1.71,-1.36,-0.42,-1.74
3931.0,,-2.2982,-0.16,-0.34,-0.25,-1.87,-2.01,-1.54,-0.94,-2.09
3931.0,,0.1094,0.77,0.75,0.49,0.7,0.53,0.55,-0.82,-0.05
3931.0,,-0.6557,1.7,1.05,0.54,0.3,0.02,-0.66,-0.69,2.2
3931.0,,0.44,1.61,1.64,1.31,0.77,0.91,0.94,-0.29,2.19
3931.0,,1.4786,-0.23,-0.22,-0.39,1.06,1.23,0.65,1.07,0.67
3931.0,,1.2952,1.32,0.77,0.62,1.19,0.94,1.03,0.05,0.11
3931.0,,2.504,1.28,1.44,0.98,2.29,2.51,2.3,0.27,1.26
3931.0,,-0.9356,-1.55,-1.17,-0.97,-1.31,-1.23,-1.05,0.76,-0.7
3931.0,,1.5215,1.88,1.46,0.97,1.45,1.66,1.08,0.09,0.92
3931.0,,0.8269,0.28,0.02,-0.09,0.69,0.53,0.4,1.08,-0.46
3931.0,,-0.205,-0.34,-0.27,-0.23,-0.27,-0.42,-0.63,0.35,-1.24
3931.0,,1.3867,2.61,2.86,1.82,1.62,1.83,1.79,-0.29,0.59
3931.0,,-0.5572,-0.4,-0.4,0.23,-0.55,-0.22,0.1,0.25,0.42
3931.0,,0.4585,0.99,0.76,0.43,0.68,0.3,0.26,0.0,-0.69
3931.0,,1.2677,0.96,1.45,0.91,1.33,1.51,1.33,-0.02,0.81
3931.0,,0.1002,-0.27,-0.48,-0.36,-0.02,0.0,-0.22,0.35,-0.4
3931.0,,-0.4002,-0.33,-0.38,-0.47,-0.54,-0.68,-0.68,0.52,-0.91
3931.0,,0.2009,-0.07,0.3,0.36,-0.02,0.92,1.14,-0.21,0.52
3931.0,,0.6516,0.48,0.48,0.23,0.8,0.75,0.0,0.21,0.09
3931.0,,-0.3486,0.06,0.18,0.37,-0.04,0.3,0.69,-0.92,0.66
3931.0,,0.3998,0.66,0.34,0.1,0.36,0.2,-0.15,0.62,-0.54
3931.0,,0.0498,0.11,-0.05,-0.11,0.18,0.05,-0.1,-0.35,0.14
3931.0,,0.0498,0.63,0.68,0.42,0.32,0.14,-0.12,-0.2,0.09
3931.0,,0.0497,-1.11,-1.12,-0.76,-0.31,-0.48,-0.57,0.39,0.28
3931.0,,0.0994,-0.12,0.12,0.12,0.08,0.27,0.26,-0.77,0.46
3931.0,,-0.149,-1.01,-1.12,-0.59,-0.21,-0.11,0.1,0.59,0.1
3931.0,,1.0443,0.53,0.4,0.21,0.68,0.55,0.37,0.65,0.16
3931.0,,-0.2953,-1.2,-1.04,-0.97,-0.19,-0.22,-0.4,-0.06,0.18
3931.0,,0.2468,1.07,1.1,0.9,0.52,0.62,0.73,-0.73,0.1
3931.0,,0.5908,0.3,0.23,0.04,0.58,0.59,0.55,-0.37,0.42
3931.0,,0.6853,1.46,1.18,0.71,0.73,0.4,0.12,0.12,-0.35
3931.0,,0.0972,-0.31,-0.13,0.0,-0.06,-0.11,-0.22,0.49,0.25
3931.0,,0.2914,0.68,0.34,0.03,0.15,-0.09,-0.31,0.97,-0.37
3931.0,,-0.0484,-1.37,-1.69,-1.6,-0.41,-1.45,-1.9,1.22,-2.63
3931.0,,-1.4535,-2.15,-1.68,-1.51,-1.35,-1.23,-0.99,0.31,0.16
3931.0,,0.5408,1.04,1.14,0.69,0.56,0.52,0.56,0.81,0.06
3931.0,,0.489,0.75,0.83,0.61,0.64,1.16,0.85,-0.21,0.45
3931.0,,0.146,-0.76,-0.63,-0.28,-0.29,-0.43,-0.46,0.92,-0.39
3931.0,,0.3887,1.01,0.87,0.7,0.27,0.14,0.23,0.41,-0.37
3931.0,,-0.7744,-1.64,-1.77,-1.51,-1.05,-1.5,-1.1,1.12,-1.87
3931.0,,0.1463,2.24,2.08,1.23,0.44,0.49,0.79,-0.37,0.86
3931.0,,-1.6074,-2.39,-2.32,-1.95,-1.92,-2.24,-2.27,0.65,-1.03
3931.0,,0.495,0.35,0.25,0.24,0.59,0.33,0.43,0.2,-0.59
3931.0,,-1.0837,-0.54,-0.94,-0.98,-1.3,-1.74,-1.89,0.05,-0.54
3931.0,,-0.6474,-1.64,-0.68,-0.95,-0.59,-0.65,-0.99,0.16,-0.16
3931.0,,-1.2531,-0.51,-0.07,0.17,-0.63,-0.31,0.02,-0.6,1.07
3931.0,,2.1827,3.49,2.69,2.3,2.4,2.52,2.71,-0.65,1.49
3931.0,,2.2861,1.77,1.49,1.28,2.16,1.99,2.05,0.26,0.27
3931.0,,0.4608,0.4,0.34,0.34,0.54,0.82,1.05,-1.02,1.58
3931.0,,0.0,0.37,0.68,0.52,0.21,0.35,-0.27,0.21,-0.13
3931.0,,-0.344,-0.49,0.37,0.23,0.15,0.62,0.84,-0.93,0.94
3931.0,,0.1151,0.53,0.4,0.26,0.09,0.07,0.01,0.73,-0.25
3931.0,,0.4598,0.93,0.55,0.51,0.38,0.28,0.33,0.08,0.19
3931.0,,0.0572,-0.17,0.17,0.42,0.21,0.32,0.56,-0.18,0.07
3931.0,,-0.5146,-0.55,-0.27,-0.05,-0.65,-0.46,-0.49,-0.08,0.06
3931.0,,-0.7471,0.55,-0.08,-0.05,-0.69,-0.9,-0.97,-0.48,0.16
3931.0,,-0.1158,0.07,-0.14,-0.21,-0.22,-0.09,0.0,-0.09,0.69
3931.0,,-1.7971,-1.07,-1.43,-1.11,-1.79,-2.31,-2.58,1.19,-0.56
3931.0,,-1.0626,-1.7,-1.78,-1.24,-1.27,-1.21,-1.35,0.48,-0.32
3931.0,,1.3723,1.48,0.95,0.41,1.3,0.95,0.74,0.93,-0.58
3931.0,,1.9423,1.95,1.58,0.93,1.88,1.93,1.85,0.13,0.18
3931.0,,-0.5774,-0.64,-0.72,-0.57,-0.75,-0.83,-1.14,0.04,-0.35
3931.0,,-0.9292,-0.23,-0.63,-0.18,-0.75,-1.13,-1.09,0.91,-0.65
3931.0,,-0.1758,-0.42,-0.06,-0.03,-0.13,-0.29,-0.32,0.32,-0.03
3931.0,,-0.5285,-0.2,-0.48,-0.62,-0.51,-0.52,-0.61,0.07,-0.82
3931.0,,-1.4758,-2.7,-1.86,-1.29,-1.39,-1.17,-1.16,0.76,0.0
3931.0,,1.2582,1.86,1.45,1.37,1.37,1.52,1.6,-0.25,0.04
3931.0,,0.4734,-0.44,-0.79,-0.8,0.12,-0.13,-0.55,0.74,-0.54
3931.0,,0.7067,-1.0,-0.32,-0.17,0.66,0.95,1.02,-1.0,0.73
3931.0,,1.345,1.36,1.68,1.46,1.4,1.57,1.68,0.32,0.81
3931.0,,0.1154,0.0,-0.21,-0.46,-0.24,-0.54,-0.77,0.11,-0.17
3931.0,,0.4611,1.41,0.91,0.66,0.72,0.89,1.05,-0.85,0.32
3931.0,,-1.3769,-0.23,-0.23,-0.19,-0.8,-0.74,-0.43,-0.43,-0.47
3931.0,,-0.9308,-1.39,-1.53,-1.28,-1.42,-1.55,-2.18,1.22,-0.63
3931.0,,0.9395,1.07,1.16,0.77,0.98,0.77,0.9,0.63,-0.19
